a.out5976|1010.188|2|0.004|0.004|2105.761751
a.out5983|954.620|3|0.014|0.029|2107.573354
a.out5993|947.290|3|0.009|0.015|2108.450381
a.out5998|945.620|3|0.026|0.069|2110.189779
a.out6006|944.004|2|0.006|0.009|2111.898603
a.out6013|950.652|4|0.004|0.004|2112.886668
a.out5792|1047.865|11|0.048|0.160|2094.349046
a.out5836|1014.920|20|0.005|0.013|2095.350678
a.out5876|1031.646|6|0.025|0.062|2097.066788
a.out5928|1052.047|3|0.007|0.012|2097.753888
a.out5941|943.743|2|0.005|0.006|2099.873953
a.out5946|960.130|3|0.004|0.004|2100.885986
a.out5953|946.822|3|0.006|0.009|2102.498095
a.out5961|953.056|2|0.006|0.006|2103.898140
a.out5969|951.199|2|0.007|0.008|2104.874180
